Minutes Played,Goals,Assists,Passes,Key Passes,Big Chances Created,Shots,Shots on Target,Yellow Card,Red Card,Match Rating
90,2,0,78,0,0,4,2,0,0,8.3
90,0,1,78,4,2,5,2,0,0,8.2
90,0,0,78,1,0,1,0,0,0,7.5
90,0,0,78,2,0,1,0,0,0,7.5
90,1,0,78,0,0,1,1,0,0,7.4
90,0,0,78,0,0,0,0,0,0,7.2
90,0,0,78,0,0,0,0,0,0,7.2
90,0,0,78,0,0,0,0,0,0,6.7
90,0,0,77,0,0,0,0,1,0,7.3
90,1,1,77,3,0,1,1,0,0,8.8
90,1,0,77,1,1,2,1,0,0,8.1
90,0,0,77,1,0,0,0,0,0,7.9
90,0,0,77,0,0,2,1,0,0,7.2
90,0,0,77,1,0,0,0,0,0,7.2
90,0,0,77,0,0,2,0,0,0,6.8
90,0,0,77,0,0,0,0,0,0,6.7
90,0,0,77,0,0,1,0,0,0,6.6
90,0,0,77,1,0,0,0,0,0,6.9
90,0,1,76,5,0,0,0,1,0,8
90,0,0,76,0,0,1,0,1,0,7.3
90,0,0,76,0,0,0,0,1,0,7.2
90,0,0,76,0,0,0,0,1,0,7.1
90,0,0,76,0,0,1,0,1,0,6.8
90,0,0,76,0,0,1,0,0,0,7.2
90,0,0,76,1,0,2,0,0,0,7.1
90,0,0,76,0,0,0,0,0,0,6.9
90,0,0,76,1,0,0,0,0,0,6.8
90,0,0,76,0,0,1,0,0,0,6.6
90,0,0,76,0,0,0,0,0,0,6.5
90,0,0,76,0,0,0,0,0,0,6.4
90,0,1,75,1,1,1,0,1,0,6.9
90,0,1,75,2,1,0,0,0,0,7.9
90,0,1,75,2,1,0,0,0,0,7.6
90,0,0,75,0,0,0,0,0,0,7.5
90,0,0,75,0,0,4,1,0,0,7.3
90,0,0,75,1,0,1,0,0,0,7.2
90,0,0,75,0,0,0,0,0,0,7
90,0,0,75,0,0,0,0,0,0,7
90,0,0,75,0,0,1,1,0,0,6.8
90,0,0,75,1,1,2,0,0,0,8
90,1,0,74,5,3,1,1,0,0,8.6
90,0,1,74,2,1,0,0,0,0,8.2
90,0,1,74,3,0,1,1,0,0,7.8
90,0,0,74,1,0,1,1,0,0,7.8
90,0,0,74,3,0,0,0,0,0,7.7
90,0,0,74,0,0,0,0,0,0,7.3
90,1,0,74,1,0,1,1,0,0,7.3
90,0,0,74,0,0,0,0,0,0,7.1
90,0,0,74,1,0,0,0,0,0,7
90,0,0,74,0,0,1,0,0,0,6.7
90,0,0,74,0,0,0,0,0,0,6.5
90,0,0,73,0,0,1,1,1,0,7.4
90,0,0,73,0,0,0,0,1,0,6.8
90,0,1,73,4,3,3,3,0,0,9.4
90,0,3,73,5,2,0,0,0,0,8.2
90,0,0,73,1,0,0,0,0,0,8.2
90,0,0,73,1,1,0,0,0,0,8.1
90,0,0,73,0,0,2,1,0,0,7.8
90,0,0,73,1,1,0,0,0,0,7.6
90,0,0,73,0,0,3,2,0,0,7.5
90,0,0,73,0,0,1,0,0,0,7.5
90,0,0,73,0,0,0,0,0,0,7.1
90,0,0,73,0,0,1,0,0,0,7.1
90,0,0,73,0,0,1,1,0,0,7
90,0,0,73,2,0,0,0,0,0,6.9
90,0,0,73,0,0,1,0,0,0,6.8
90,0,0,73,0,0,0,0,0,0,6.8
90,0,0,72,1,0,1,0,1,0,6.9
90,0,0,72,0,0,0,0,1,0,6.8
90,0,0,72,2,1,0,0,0,0,8.2
90,0,1,72,1,1,1,1,0,0,7.5
90,0,0,72,0,0,0,0,0,0,7.5
90,0,0,72,3,0,0,0,0,0,7.4
90,0,0,72,1,0,0,0,0,0,7.4
90,0,0,72,0,0,1,1,0,0,6.9
90,0,0,72,0,0,0,0,0,0,6.9
90,0,0,72,0,0,0,0,0,0,6.7
90,0,0,72,1,0,1,0,0,0,6.7
90,0,1,71,4,2,3,1,0,0,8.3
90,0,0,71,0,0,0,0,0,0,7.7
90,0,0,71,0,0,0,0,0,0,7.3
90,0,0,71,0,0,0,0,0,0,7.2
90,0,0,71,0,0,1,0,0,0,7.2
90,0,0,71,0,0,0,0,0,0,7.1
90,0,0,71,0,0,1,0,0,0,7.1
90,0,0,71,0,0,0,0,0,0,7.1
90,0,0,71,1,0,0,0,0,0,7
90,0,0,71,0,0,0,0,0,0,7
90,0,0,71,0,0,0,0,0,0,6.9
90,0,0,71,1,0,1,0,0,0,6.8
90,0,0,71,2,0,0,0,0,0,6.8
90,0,0,71,0,0,0,0,0,0,6.3
90,1,0,71,2,0,2,1,0,0,7.7
90,0,0,71,1,0,0,0,0,0,7.1
90,1,0,70,1,0,3,1,0,0,7.9
90,0,0,70,1,0,1,1,0,0,7.5
90,0,0,70,1,0,2,0,0,0,7.4
90,0,0,70,2,0,2,1,0,0,7.3
90,0,0,70,1,0,2,2,0,0,7.3
90,0,0,70,0,0,1,1,0,0,7.3
90,0,0,70,0,0,1,1,0,0,7.2
90,0,0,70,0,0,0,0,0,0,7.2
90,0,0,70,1,0,1,0,0,0,7.2
90,0,0,70,1,0,2,0,0,0,7.2
90,0,0,70,1,0,2,1,0,0,7
90,0,0,70,1,0,0,0,0,0,6.9
90,0,0,70,0,0,0,0,0,0,6.9
90,0,0,70,0,0,0,0,0,0,6.8
90,0,0,70,0,0,0,0,0,0,6.3
90,0,0,69,1,0,0,0,1,0,7.6
90,1,0,69,1,0,4,1,0,0,8.8
90,0,1,69,2,1,0,0,0,0,7.6
90,0,1,69,1,1,0,0,0,0,7.3
90,1,0,69,1,0,1,1,0,0,7.2
90,0,0,69,0,0,0,0,0,0,7.2
90,0,0,69,0,0,0,0,0,0,7.2
90,0,0,69,0,0,1,0,0,0,6.9
90,0,0,69,1,0,0,0,0,0,6.8
90,0,1,68,3,1,1,0,1,0,7.5
90,0,1,68,5,4,8,3,0,0,9.8
90,1,1,68,2,2,4,3,0,0,8.6
90,1,0,68,2,1,1,1,0,0,8.3
90,1,0,68,0,0,4,1,0,0,8.1
90,0,0,68,4,3,2,2,0,0,7.8
90,0,0,68,1,1,0,0,0,0,7.6
90,0,0,68,2,0,3,1,0,0,7.6
90,0,1,68,1,0,3,0,0,0,7.4
90,0,0,68,1,0,1,0,0,0,7.3
90,0,0,68,0,0,1,0,0,0,7.3
90,0,0,68,0,0,0,0,0,0,7.2
90,0,0,68,1,0,1,0,0,0,7.2
90,0,0,68,1,1,1,0,0,0,7.1
90,0,0,68,0,0,0,0,0,0,7.1
90,0,0,68,2,0,0,0,0,0,7.1
90,0,0,68,2,1,1,1,0,0,7
90,0,0,68,1,0,0,0,0,0,7
90,1,0,68,0,0,2,1,0,0,7
90,0,0,68,3,0,0,0,0,0,8
90,0,0,67,5,1,3,1,1,0,8.4
90,0,0,67,1,0,3,2,0,0,8.3
90,0,1,67,3,2,0,0,0,0,7.9
90,0,0,67,2,0,1,0,0,0,7.9
90,0,0,67,2,0,0,0,0,0,7.6
90,0,0,67,1,0,1,0,0,0,7.6
90,0,0,67,0,0,0,0,0,0,7.5
90,0,0,67,0,0,0,0,0,0,7.3
90,0,0,67,0,0,0,0,0,0,7.1
90,0,0,67,0,0,1,0,0,0,7
90,0,0,67,0,0,0,0,0,0,6.9
90,0,0,67,0,0,1,0,0,0,6.3
90,0,0,67,1,1,2,0,0,0,7.6
90,0,2,66,3,3,2,0,1,0,8.7
90,0,2,66,4,1,2,0,1,0,8
90,0,0,66,0,0,2,1,1,0,6.9
90,0,0,66,1,0,0,0,1,0,6.5
90,1,1,66,3,1,5,5,0,0,8.4
90,0,0,66,2,0,0,0,0,0,8.2
90,0,0,66,5,2,0,0,0,0,7.9
90,0,0,66,2,1,1,0,0,0,7.8
90,0,0,66,3,0,1,0,0,0,7.5
90,0,0,66,1,0,1,0,0,0,7.4
90,0,0,66,0,0,1,0,0,0,7.3
90,0,0,66,1,0,0,0,0,0,7.1
90,1,0,66,0,0,1,1,0,0,7
90,0,0,66,0,0,1,1,0,0,7
90,0,0,66,0,0,0,0,0,0,7
90,0,0,66,0,0,0,0,0,0,6.9
90,0,0,66,0,0,0,0,0,0,6.8
90,0,0,66,0,0,0,0,0,0,6.3
90,0,0,65,2,1,2,0,1,0,7.4
90,0,1,65,3,2,0,0,1,0,7.3
90,0,0,65,0,0,1,0,1,0,7.2
90,0,0,65,0,0,0,0,1,0,7
90,0,0,65,0,0,0,0,1,0,6.4
90,0,0,65,0,0,0,0,1,0,5.6
90,0,2,65,3,3,0,0,0,0,8.2
90,0,2,65,4,2,1,0,0,0,8.2
90,0,0,65,5,1,0,0,0,0,8
90,0,0,65,2,0,1,1,0,0,7.7
90,0,0,65,2,0,1,1,0,0,7.7
90,1,0,65,0,0,2,1,0,0,7.7
90,0,1,65,1,1,0,0,0,0,7.4
90,0,0,65,0,0,2,0,0,0,7.4
90,0,0,65,0,0,0,0,0,0,7.3
90,0,0,65,0,0,0,0,0,0,7.3
90,0,0,65,0,0,1,0,0,0,7.2
90,0,0,65,0,0,1,0,0,0,6.9
90,0,0,64,0,0,0,0,0,1,6.9
90,0,0,64,0,0,0,0,1,0,7
90,0,0,64,7,1,3,0,0,0,9
90,0,0,64,6,3,0,0,0,0,8.4
90,1,1,64,2,1,3,1,0,0,8.4
